Id,Category
2,Politics
10,Film
25,Film
28,Business
29,Business
33,Business
34,Business
37,Film
39,Film
40,Film
44,Business
56,Business
66,Film
75,Business
77,Business
85,Business
89,Business
92,Film
107,Film
112,Film
115,Film
139,Business
140,Business
152,Business
156,Film
162,Film
167,Business
170,Business
171,Film
173,Politics
182,Film
186,Football
193,Film
196,Business
210,Business
218,Football
224,Business
227,Business
230,Politics
232,Football
247,Football
262,Football
273,Football
276,Politics
279,Football
284,Business
286,Football
287,Business
305,Business
316,Business
337,Politics
342,Politics
349,Film
357,Technology
363,Technology
367,Technology
368,Film
374,Film
377,Technology
385,Technology
395,Technology
401,Technology
417,Film
422,Film
427,Film
433,Business
438,Film
469,Politics
470,Politics
473,Politics
481,Technology
486,Business
490,Business
495,Technology
510,Politics
519,Politics
523,Politics
533,Business
536,Politics
538,Politics
545,Business
550,Business
551,Business
557,Business
558,Business
561,Politics
565,Technology
575,Business
583,Business
589,Business
592,Business
593,Business
594,Business
598,Business
599,Politics
607,Business
614,Business
626,Business
627,Politics
634,Technology
636,Business
639,Business
641,Technology
643,Business
650,Business
655,Business
662,Film
666,Technology
667,Business
673,Technology
678,Film
693,Film
694,Film
696,Technology
697,Business
699,Business
704,Business
706,Business
707,Technology
709,Technology
717,Film
724,Business
728,Film
732,Film
733,Business
741,Film
746,Business
747,Business
749,Business
750,Technology
754,Business
756,Business
768,Politics
769,Business
774,Business
775,Business
776,Politics
789,Business
802,Politics
804,Politics
809,Technology
816,Technology
825,Technology
827,Business
830,Business
837,Film
838,Business
839,Business
849,Business
854,Technology
865,Business
871,Politics
873,Politics
884,Politics
886,Politics
893,Business
896,Business
898,Politics
907,Politics
909,Politics
910,Business
911,Business
914,Politics
916,Business
922,Business
925,Business
926,Politics
935,Business
936,Business
946,Politics
952,Business
954,Business
959,Politics
960,Politics
961,Business
964,Business
965,Business
968,Business
971,Politics
972,Business
982,Business
983,Business
985,Politics
987,Business
990,Business
994,Business
1010,Politics
1014,Business
1024,Business
1026,Business
1032,Business
1047,Politics
1050,Politics
1059,Politics
1061,Politics
1062,Business
1069,Business
1072,Business
1074,Business
1081,Business
1088,Business
1090,Business
1093,Business
1097,Business
1100,Business
1102,Business
1105,Business
1142,Business
1143,Film
1155,Business
1162,Business
1163,Film
1169,Business
1174,Business
1177,Film
1178,Business
1184,Business
1185,Business
1192,Business
1208,Politics
1209,Politics
1215,Business
1217,Politics
1219,Business
1221,Business
1223,Business
1225,Politics
1229,Business
1230,Politics
1239,Politics
1251,Politics
1265,Business
1269,Business
1282,Politics
1287,Film
1295,Film
1301,Film
1302,Film
1306,Technology
1310,Film
1314,Business
1322,Business
1328,Business
1331,Business
1332,Business
1337,Business
1345,Business
1349,Politics
1353,Politics
1356,Film
1359,Technology
1368,Film
1371,Business
1377,Film
1381,Business
1387,Film
1389,Technology
1404,Film
1411,Film
1413,Technology
1425,Technology
1428,Business
1429,Business
1430,Film
1433,Film
1437,Film
